343.286	5780	343.286	3123	343.286	1336
343.288	6108	343.288	3042	343.288	1826
343.29	6862	343.29	2401	343.29	1633
343.292	7392	343.292	2322	343.292	1851
343.294	5606	343.294	2606	343.294	1457
343.296	6217	343.296	2270	343.296	1534
343.298	4977	343.298	2323	343.298	1028
343.3	3755	343.3	1666	343.3	1148
343.302	2174	343.302	716	343.302	525
343.304	3355	343.304	811	343.304	702
343.306	1980	343.306	553	343.306	249
343.308	1561	343.308	541	343.308	299
343.31	1508	343.31	519	343.31	286
343.312	1529	343.312	291	343.312	293
343.314	1570	343.314	338	343.314	262
343.316	1291	343.316	231	343.316	139
343.318	942	343.318	242	343.318	62
343.32	608	343.32	178	343.32	105
343.322	541	343.322	163	343.322	90
343.324	494	343.324	150	343.324	88
343.326	359	343.326	106	343.326	134
343.328	181	343.328	130	343.328	182
343.33	177	343.33	114	343.33	38
343.332	228	343.332	144	343.332	70
343.334	251	343.334	119	343.334	132
343.336	249	343.336	168	343.336	174
343.338	173	343.338	170	343.338	116
343.34	260	343.34	280	343.34	307
343.342	358	343.342	351	343.342	117
343.344	565	343.344	285	343.344	356
343.346	627	343.346	525	343.346	368
343.348	620	343.348	737	343.348	455
343.35	1179	343.35	1051	343.35	404
343.352	1744	343.352	1127	343.352	772
343.354	1765	343.354	1994	343.354	1207
343.356	1903	343.356	1453	343.356	1279
343.358	2336	343.358	2278	343.358	1704
343.36	2909	343.36	1933	343.36	1178
343.362	1895	343.362	1684	343.362	1453
343.364	1980	343.364	1492	343.364	1829
343.366	1380	343.366	1811	343.366	1037
343.368	1829	343.368	1297	343.368	670
343.37	923	343.37	888	343.37	621
343.372	544	343.372	616	343.372	327
343.374	644	343.374	383	343.374	309
343.376	455	343.376	371	343.376	287
343.378	511	343.378	173	343.378	326
343.38	344	343.38	90	343.38	235
343.382	214	343.382	134	343.382	134
343.384	300	343.384	35	343.384	108
343.386	216	343.386	43	343.386	72
343.388	151	343.388	-6	343.388	125
343.39	130	343.39	3	343.39	54
343.392	121	343.392	13	343.392	55
343.394	135	343.394	-40	343.394	85
343.396	125	343.396	-15	343.396	36
343.398	118	343.398	-53	343.398	32
343.4	126	343.4	-43	343.4	25
343.402	137	343.402	-45	343.402	22
343.404	143	343.404	-10	343.404	89
343.406	134	343.406	-19	343.406	88
343.408	82	343.408	4	343.408	57
343.41	128	343.41	30	343.41	112
343.412	108	343.412	44	343.412	141
343.414	149	343.414	84	343.414	179
343.416	152	343.416	105	343.416	65
343.418	201	343.418	184	343.418	165
343.42	312	343.42	339	343.42	436
343.422	278	343.422	604	343.422	295
343.424	423	343.424	489	343.424	558
343.426	769	343.426	1031	343.426	667
343.428	623	343.428	1267	343.428	820
343.43	1118	343.43	1477	343.43	1209
343.432	1043	343.432	1678	343.432	1686
343.434	844	343.434	1579	343.434	2392
343.436	710	343.436	1547	343.436	1538
343.438	884	343.438	1466	343.438	2058
343.44	841	343.44	1040	343.44	1096
343.442	772	343.442	629	343.442	849
343.444	584	343.444	720	343.444	450
343.446	774	343.446	703	343.446	455
343.448	564	343.448	429	343.448	402
343.45	324	343.45	382	343.45	266
343.452	260	343.452	157	343.452	164
343.454	124	343.454	97	343.454	173
343.456	207	343.456	93	343.456	126
343.458	246	343.458	-10	343.458	198
343.46	225	343.46	-32	343.46	217
343.462	184	343.462	-42	343.462	92
343.464	156	343.464	-40	343.464	7
343.466	153	343.466	-48	343.466	-22
343.468	177	343.468	-70	343.468	61
343.47	92	343.47	-68	343.47	33
343.472	108	343.472	-62	343.472	56
343.474	128	343.474	-35	343.474	17
343.476	102	343.476	-75	343.476	29
343.478	149	343.478	-66	343.478	115
343.48	95	343.48	-85	343.48	167
343.482	121	343.482	-54	343.482	23
343.484	145	343.484	-31	343.484	71
343.486	128	343.486	-90	343.486	6
343.488	156	343.488	-68	343.488	82
343.49	130	343.49	-62	343.49	86
343.492	174	343.492	-66	343.492	100
343.494	119	343.494	-31	343.494	40
343.496	164	343.496	-33	343.496	140
343.498	177	343.498	19	343.498	239
343.5	233	343.5	104	343.5	126
343.502	239	343.502	135	343.502	389
343.504	233	343.504	190	343.504	172
343.506	316	343.506	407	343.506	534
343.508	544	343.508	810	343.508	868
343.51	498	343.51	1188	343.51	761
343.512	505	343.512	900	343.512	992
343.514	851	343.514	850	343.514	1318
343.516	919	343.516	1468	343.516	1419
343.518	1174	343.518	1557	343.518	1540
343.52	943	343.52	1700	343.52	1565
343.522	817	343.522	1347	343.522	761
343.524	954	343.524	820	343.524	922
343.526	708	343.526	826	343.526	902
343.528	623	343.528	529	343.528	755
343.53	488	343.53	404	343.53	776
343.532	375	343.532	507	343.532	453
343.534	268	343.534	216	343.534	228
343.536	320	343.536	163	343.536	245
343.538	239	343.538	86	343.538	91
343.54	291	343.54	70	343.54	136
343.542	200	343.542	27	343.542	89
343.544	108	343.544	17	343.544	44
343.546	154	343.546	32	343.546	143
343.548	85	343.548	-5	343.548	79
343.55	160	343.55	28	343.55	93
343.552	86	343.552	-18	343.552	61
343.554	120	343.554	-21	343.554	94
343.556	107	343.556	-43	343.556	46
343.558	86	343.558	-50	343.558	59
343.56	82	343.56	-46	343.56	103
343.562	100	343.562	-58	343.562	16
343.564	74	343.564	-79	343.564	37
